CODIGO,DESCRIPCION,ENTRADAS,SALIDAS,SALDO,,CODIGO,DESCRIPCION,FECHA ,CANTIDAD,,CODIGO,DESCRIPCION,FECHA,CANTIDAD
RHY109,HYUNDAI GETS,0,1,-1,,RHY109,HYUNDAI GETS,,,,RHY109,HYUNDAI GETS,,1
RCN110,CHINO MINJI ,0,0,0,,RCN110,CHINO MINJI ,,,,RCN110,CHINO MINJI ,,
RNI111,NISSAN B-15,0,0,0,,RNI111,NISSAN B-15,,,,RNI111,NISSAN B-15,,
RNI112,NISSAN B-16,0,0,0,,RNI112,NISSAN B-16,,,,RNI112,NISSAN B-16,,
RNI113,NISSAN TIIDA,0,0,0,,RNI113,NISSAN TIIDA,,0,,RNI113,NISSAN TIIDA,,
,,0,0,0,,,#N/D,,,,,#N/D,,
,,0,0,0,,,,,,,,#N/D,,
,,0,0,0,,,,,,,,#N/D,,
,,0,0,0,,,,,,,,#N/D,,
,,0,0,0,,,#N/D,,,,,#N/D,,
,,0,0,0,,,#N/D,,,,,#N/D,,
,,0,0,0,,,#N/D,,,,,#N/D,,
,,0,0,0,,,#N/D,,,,,#N/D,,
,,0,0,0,,,#N/D,,,,,#N/D,,
,,0,0,0,,,#N/D,,,,,#N/D,,
,,0,0,0,,,#N/D,,,,,#N/D,,
,,0,0,0,,,#N/D,,,,,#N/D,,
,,0,0,0,,,#N/D,,,,,#N/D,,
,,0,0,0,,,#N/D,,,,,#N/D,,
,,0,0,0,,,#N/D,,,,,#N/D,,
,,0,0,0,,,#N/D,,,,,#N/D,,
