CODIGO,DESCRIPCION,ENTRADAS,SALIDAS,SALDO,,CODIGO,DESCRIPCION,FECHA ,CANTIDAD,,CODIGO,DESCRIPCION,FECHA,CANTIDAD
HOTQ0106,HONDA FIT CORTO. R,18,0,18,,HOTQ0106,HONDA FIT CORTO. R,,18,,RETQ0106,HONDA FIT CORTO. R,,
FITQ0107,FIAT PALIO 1.3  BOQUETON. R,12,0,12,,FITQ0107,FIAT PALIO 1.3  BOQUETON. R,,12,,FITTQ0107,FIAT PALIO 1.3  BOQUETON. R,,
FITQ0108,FIAT PALIO SIENNA RETENEDOR,4,0,4,,FITQ0108,FIAT PALIO SIENNA RETENEDOR,,4,,FITTQ0108,FIAT PALIO SIENNA RETENEDOR,,
FITQ0109,FIAT PALIO SIENARETENEDOR RAYADO ,6,0,6,,FITQ0109,FIAT PALIO SIENARETENEDOR RAYADO ,,6,,FITTQ0109,FIAT PALIO SIENARETENEDOR RAYADO ,,
FOTQ0110,FORD ASTRA,17,0,17,,FOTQ0110,FORD ASTRA,,17,,FITTQ0110,FORD ASTRA,,
FOTQ0111,FORD FIESTA RETENEDOR,30,0,30,,FOTQ0111,FORD FIESTA RETENEDOR,,30,,FITTQ0111,FORD FIESTA RETENEDOR,,
FOTQ0112,FORD FIESTA SINC,14,0,14,,FOTQ0112,FORD FIESTA SINC,,14,,FITTQ0112,FORD FIESTA SINC,,
MATQ0113,MAZDA DEMIO  CORTO. ENT,10,0,10,,MATQ0113,MAZDA DEMIO  CORTO. ENT,,10,,MATQ0113,MAZDA DEMIO  CORTO. ENT,,
MATQ0114,MAZDA  FINO BOQUETON INCLINADO . ENT,3,0,3,,MATQ0114,MAZDA  FINO BOQUETON INCLINADO . ENT,,3,,MATQ0114,MAZDA  FINO BOQUETON INCLINADO . ENT,,
MATQ0115,MAZDA DEMIO RAYADO CORTO. R,2,0,2,,MATQ0115,MAZDA DEMIO RAYADO CORTO. R,,2,,MATQ0115,MAZDA DEMIO RAYADO CORTO. R,,
MATQ0116,MAZDA DEMIO AUT. R,2,0,2,,MATQ0116,MAZDA DEMIO AUT. R,,2,,MATQ0116,MAZDA DEMIO AUT. R,,
PETQ0117,PEUGEOT CENTAURO 88-91,2,0,2,,PETQ0117,PEUGEOT CENTAURO 88-91,,2,,MATQ0117,PEUGEOT CENTAURO 88-91,,
PETQ0118,PEUGEOT 307,4,0,4,,PETQ0118,PEUGEOT 307,,4,,MATQ0118,PEUGEOT 307,,
PETQ0119,PEUGEOT CENTAURO BOQUETON ,3,0,3,,PETQ0119,PEUGEOT CENTAURO BOQUETON ,,3,,MATQ0119,PEUGEOT CENTAURO BOQUETON ,,
PETQ0120,PEUGEOT CENTAURO FINO RAYADO ,2,0,2,,PETQ0120,PEUGEOT CENTAURO FINO RAYADO ,,2,,MATQ0120,PEUGEOT CENTAURO FINO RAYADO ,,
CHTQ0121,CHEVROLET  GM CRUZE CORTO,10,0,10,,CHTQ0121,CHEVROLET  GM CRUZE CORTO,,10,,MATQ0121,CHEVROLET  GM CRUZE CORTO,,
PETQ0122,CITROEN,19,0,19,,PETQ0122,CITROEN,,19,,MATQ0122,CITROEN,,
FOTQ0123,FORD MUSTANG 4.0,1,0,1,,FOTQ0123,FORD MUSTANG 4.0,,1,,MATQ0123,FORD MUSTANG 4.0,,
FOTQ0124,FORD MUSTANG 4.0 SAL,1,0,1,,FOTQ0124,FORD MUSTANG 4.0 SAL,,1,,MATQ0124,FORD MUSTANG 4.0 SAL,,
FOTQ0125,FORD WINDSTAR,1,0,1,,FOTQ0125,FORD WINDSTAR,,1,,MATQ0125,FORD WINDSTAR,,
FOTQ0126,FORD MUSTANG F150,9,0,9,,FOTQ0126,FORD MUSTANG F150,,9,,HOTQ0126,FORD MUSTANG F150,,
FOTQ0127,FORD FUSION  RAYADO GRUESO,3,0,3,,FOTQ0127,FORD FUSION  RAYADO GRUESO,,3,,HOTQ0127,FORD FUSION  RAYADO GRUESO,,
FOTQ0128,FORD EXPLORER VIEJO,2,0,2,,FOTQ0128,FORD EXPLORER VIEJO,,2,,HOTQ0128,FORD EXPLORER VIEJO,,
FOTQ0129,FORD EXPLORER ENT,4,0,4,,FOTQ0129,FORD EXPLORER ENT,,4,,HOTQ0129,FORD EXPLORER ENT,,
FOTQ0130,FORD EXPLORER NAVIGATOR ,9,0,9,,FOTQ0130,FORD EXPLORER NAVIGATOR ,,9,,HOTQ0130,FORD EXPLORER NAVIGATOR ,,
FOTQ0131,FORD EXPLORER F4,3,0,3,,FOTQ0131,FORD EXPLORER F4,,3,,HOTQ0131,FORD EXPLORER F4,,
FOTQ0132,FORD EXPEDITION,2,0,2,,FOTQ0132,FORD EXPEDITION,,2,,HOTQ0132,FORD EXPEDITION,,
FOTQ0133,FORD EXPLORER 2013 RAYADO,2,0,2,,FOTQ0133,FORD EXPLORER 2013 RAYADO,,2,,HOTQ0133,FORD EXPLORER 2013 RAYADO,,
