MODELO,PLACA,SERVICIO / Descripción,FECHA,COSTO,
Toyota Yaris,AB227PN,TQ entrada Yaris,30-04-25,70,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Chevrolet Vitara Gris,AA368MW,TQ ent montura,2025-02-05,60,
Aveo Azul,AF235KG,Limpieza montura de TQ,2025-02-05,60,
Mitsubishi Montero Negra,AA92G70,Null,2025-02-05,60,
Peugeot,SIN-PLACA,Null,2025-05-05,80,
Kia Rio Stylos,AE121KA,Limpieza y reparación,2025-05-05,170,
Nissan Sentra,AAS14K,Null,2025-05-05,40,
Mitsubishi Montero Sport,700961,Null,2025-05-05,70,
Toyota Autana Beigh,MDG53H,Montura de TQ ent,2025-06-05,110,
Chevrolet Vitara,OAL18H,Radiador nuevo,2025-06-05,50,
Toyota Corolla,AD874RG,Limpieza lavado de TQ,2025-07-05,50,
Chevrolet Captiva,AB160BG,Garantía,2025-07-05,60,
Toyota Yaris Rojo,AD892TG,Limpieza lavado de bloque y tapa,2025-08-05,60,
Doge Caliber,MFM31G,Null,2025-09-05,50,
Chevrolet Cruze,AA832MK,Null,2025-09-05,50,
Toyota Prado,AG058ZG,"Cambio de TQ, limpieza tapa y reparación",2025-12-05,60,
Chevrolet Blanca Vitara,DCE46Y,Null,2025-12-05,50,
Ford Fiesta Blanco,AD849VM,Limpieza,13-05-25,40,
Yaris Azul Oscuro,BBU35A,Limpieza y lavado,13-05-25,50,
Chevrolet Grand Vitara Beigh,AA208FT,Null,14-05-25,50,
Corolla Año 93 Cobre,GBJ70X,Montura de TQ,14-05-25,100,
Ford Explorer Vinotinto,AB342JM,Null,15-05-25,50,
Peugeot Plateado,AA587CM,Limpieza montura de TQ,16-05-25,70,
Honda Civic,9460,Limpieza,19-05-25,55,
Corolla Verde,VAG41W,Limpieza,19-05-25,40,
Hyundai Tucson,7748,Limpieza y lavado,20-05-25,40,
Jeep Liberty,AA939M0,Cambio de TQ y limpieza,21-05-25,60,
Ford Explorer,AA155VA,Limpieza,21-05-25,50,
Chery Arauca Plateado,AC595HD,Limpieza montura de TQ,21-05-25,80,
Yaris Rojo,AC678BB,Null,21-05-25,60,
Chevrolet Spark,AC906LM,Limpieza,21-05-25,70,
Toyota Corolla,11232,Cambio de TQ,23-05-25,140,
Mercedes E320 Blanco,AC461LE,Null,23-05-25,90,
Doge Caliber,MFM31G,Radiador nuevo,23-05-25,70,
Hyundai Santa Fe,AA60J50,"Limpieza, reparación y cambio de TQ",26-05-25,40,
Peugeot,AHG73S,Cambio de TQ,26-05-25,40,
Toyota Meru,0AK07S,Reparación y cambio de termostato,26-05-25,60,
Hyundai Elantra,AC388LE,Reparación,26-05-25,40,
Chevrolet Spark,AE396LD,Null,27-05-25,40,
Yaris Plateado,AC698FN,Reparación de radiador,27-05-25,80,
Terios Azul,AF949TV,Pag,28-05-25,40,
Mitsubishi Lancer Plateado,AB536VD,Null,28-05-25,,
Toyota Corolla Blanco,AB259JN,Null,28-05-25,,
Chevrolet Spark,AGW82G,Null,28-05-25,,
Chevrolet Dimax,58FXAC,Limpieza y cambio de TQ,30-05-25,40,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
